SimDay Temp Diet1 Diet2 Diet3 Diet4 Diet5 Diet6 Diet7 Diet8 Diet9 Diet10
1 8.874 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
2 9.104 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
3 9.087 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
4 9.96 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
5 10.875 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
6 10.482 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
7 11.086 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
8 10.282 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
9 9.927 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
10 9.624 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
11 10.067 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
12 10.076 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
13 10.643 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
14 10.683 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
15 9.744 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
16 9.32 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
17 9.521 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
18 9.738 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
19 11.03 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
20 11.479 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
21 11.548 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
22 11.22 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
23 11.842 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
24 11.496 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
25 10.195 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
26 10.126 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
27 9.684 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
28 9.424 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
29 9.57 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
30 9.716 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
31 9.907 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
32 10.663 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
33 10.96 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
34 10.937 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
35 10.695 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
36 10.536 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
37 9.406 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
38 9.146 0.226621840368572 0.18926659195617 0.213049433445399 0.150666168596688 0.0249034989416013 0.00498069978832026 0.18926659195617 0 0.00124517494708006 0
